test_time_second,voltage_volt,current_ampere,unix_time_second,step_id,step_type,ambient_temperature_celsius,step_time_second,charging_capacity_ah,discharging_capacity_ah,net_capacity_ah,step_cumulative_capacity_ah,charging_energy_wh,discharging_energy_wh,net_energy_wh,step_cumulative_energy_wh,temperature_t1_celsius
43721643.0,3.2066802266199375,0.0,1749244741.75,40,PAU,25.125,823679.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43722643.0,3.2066802266199375,0.0,1749244742.75,40,PAU,25.125,824679.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43723646.0,3.2066802266199375,0.0,1749244743.76,40,PAU,25.125,825682.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43724649.0,3.2066802266199375,0.0,1749244744.76,40,PAU,25.125,826685.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43725645.0,3.206791392127343,0.0,1749244745.76,40,PAU,25.125,827681.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43726646.0,3.2066802266199375,0.0,1749244746.76,40,PAU,25.125,828682.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43727644.0,3.2066802266199375,0.0,1749244747.76,40,PAU,25.125,829680.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43728646.0,3.206791392127343,0.0,1749244748.76,40,PAU,25.125,830682.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43729646.0,3.206791392127343,0.0,1749244749.76,40,PAU,25.125,831682.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43730650.0,3.206791392127343,0.0,1749244750.76,40,PAU,25.125,832686.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43731645.0,3.206791392127343,0.0,1749244751.76,40,PAU,25.125,833681.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43732649.0,3.206791392127343,0.0,1749244752.76,40,PAU,25.125,834685.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43733648.0,3.206791392127343,0.0,1749244753.76,40,PAU,25.125,835684.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43734652.0,3.206791392127343,0.0,1749244754.76,40,PAU,25.125,836688.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43735644.0,3.206791392127343,0.0,1749244755.75,40,PAU,25.125,837680.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43736647.0,3.206791392127343,0.0,1749244756.76,40,PAU,25.125,838683.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43737645.0,3.2069025576347485,0.0,1749244757.76,40,PAU,25.125,839681.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43738649.0,3.2069025576347485,0.0,1749244758.76,40,PAU,25.125,840685.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43739649.0,3.2069025576347485,0.0,1749244759.76,40,PAU,25.125,841685.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43740646.0,3.2069025576347485,0.0,1749244760.76,40,PAU,25.125,842682.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43741646.0,3.2069025576347485,0.0,1749244761.76,40,PAU,25.125,843682.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43742644.0,3.2069025576347485,0.0,1749244762.75,40,PAU,25.125,844680.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43743646.0,3.207013723142154,0.0,1749244763.76,40,PAU,25.0625,845682.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43744652.0,3.207013723142154,0.0,1749244764.76,40,PAU,25.0625,846688.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43745645.0,3.2069025576347485,0.0,1749244765.76,40,PAU,25.0625,847681.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43746647.0,3.207013723142154,0.0,1749244766.76,40,PAU,25.0625,848683.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43747649.0,3.207013723142154,0.0,1749244767.76,40,PAU,25.0625,849685.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43748651.0,3.207013723142154,0.0,1749244768.76,40,PAU,25.125,850687.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43749649.0,3.207013723142154,0.0,1749244769.76,40,PAU,25.125,851685.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43750646.0,3.207013723142154,0.0,1749244770.76,40,PAU,25.125,852682.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43751646.0,3.207013723142154,0.0,1749244771.76,40,PAU,25.125,853682.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43752652.0,3.207013723142154,0.0,1749244772.76,40,PAU,25.125,854688.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43753646.0,3.2071248886495596,0.0,1749244773.76,40,PAU,25.125,855682.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43754645.0,3.2071248886495596,0.0,1749244774.76,40,PAU,25.125,856681.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43755648.0,3.2071248886495596,0.0,1749244775.76,40,PAU,25.125,857684.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43756644.0,3.2071248886495596,0.0,1749244776.75,40,PAU,25.125,858680.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43757648.0,3.2071248886495596,0.0,1749244777.76,40,PAU,25.125,859684.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43758647.0,3.2071248886495596,0.0,1749244778.76,40,PAU,25.125,860683.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43759651.0,3.2071248886495596,0.0,1749244779.76,40,PAU,25.125,861687.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43760653.0,3.2071248886495596,0.0,1749244780.76,40,PAU,25.125,862689.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43761646.0,3.2071248886495596,0.0,1749244781.76,40,PAU,25.125,863682.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43762645.0,3.207236054156965,0.0,1749244782.76,40,PAU,25.125,864681.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43763649.0,3.207236054156965,0.0,1749244783.76,40,PAU,25.0625,865685.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43764653.0,3.207236054156965,0.0,1749244784.76,40,PAU,25.0625,866689.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43765650.0,3.207236054156965,0.0,1749244785.76,40,PAU,25.0625,867686.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43766649.0,3.207236054156965,0.0,1749244786.76,40,PAU,25.0625,868685.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
